"Assignment Fulfillment Entity 1","Assignment Fulfillment Entity 2","Role Demand type","Career Track","Location Radius","Source Location","Project Metro City","Project Supervising Entity","Sold","Client Contract Based","Assignment Title","Description","Requested Start Date","End Date","Status","Career Level From","Career Level To","Talent Segment","Assigned Role","Assignment Primary Specialization Level 1","Assignment Primary Specialization Level 2","Assignment Primary Specialization Level 3","Assignment Primary Specialization Level 4","Skill & Proficiency","Candidates"
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Spring Data-9-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-04-29T08:00","2020-12-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Data                                                                     (P3 - Advanced)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Spring Data-9-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-03-01T08:00","2020-12-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Data                                                                     (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Spring Data-9-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-03-01T08:00","2020-12-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Data                                                                     (P3 - Advanced)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Spring Data-9-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-03-01T08:00","2020-12-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Data                                                                     (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Spring Application Framework-10-Manila","Design, build and configure applications to meet business process and application requirements.","2020-03-08T08:00","2021-01-04T08:00","Open - In Process",,,"Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Spring Application Framework                                                    (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Apple iOS Application Development-9-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-02-02T08:00","2021-11-26T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer",,,,," 1 - Apple iOS Application Development                                               (P3 - Advanced) | 2 - Apple IoT Dev                                                                   (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Angular-10-Manila","Design, build and configure applications to meet business process and application requirements.","2020-05-31T08:00","2021-01-04T08:00","Open - In Process",,,"Software Engineering                    ","Application Developer",,,,," 1 - Angular                                                                         (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Angular-10-Manila","Design, build and configure applications to meet business process and application requirements.","2020-05-31T08:00","2021-01-04T08:00","Open - In Process",,,"Software Engineering                    ","Application Developer",,,,," 1 - Angular                                                                         (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Angular-10-Manila","Design, build and configure applications to meet business process and application requirements.","2020-05-31T08:00","2021-01-04T08:00","Open - In Process",,,"Software Engineering                    ","Application Developer",,,,," 1 - Angular                                                                         (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Angular-10-Manila","Design, build and configure applications to meet business process and application requirements.","2020-05-31T08:00","2021-01-04T08:00","Open - In Process",,,"Software Engineering                    ","Application Developer",,,,," 1 - Angular                                                                         (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Angular-10-Manila","Design, build and configure applications to meet business process and application requirements.","2020-05-31T08:00","2021-01-04T08:00","Open - In Process",,,"Software Engineering                    ","Application Developer",,,,," 1 - Angular                                                                         (P3 - Advanced) | 2 - Java Enterprise Edition                                                         (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New",,"Any Location Globally","Singapore","Singapore","Financial Services ","Yes",,"Android Application Development-9-Manila","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-03-01T08:00","2020-11-26T08:00","Open - In Process",,,"Software Engineering                    ","Application Support Engineer",,,,," 1 - Android Application Development                                                 (P3 - Advanced) | 2 - Android BSP Device Drivers                                                      (P3 - Advanced)",0
"Other","Other","New",,"Any Location Globally","Tokyo","Tokyo","Communications, Media & Technology ","Yes",,"SAP PP Production Planning & Control Discrete Industries-8-Manila","Assist in defining requirements and designing applications to meet business process and application requirements.","2020-03-31T08:00","2020-08-30T08:00","Open - In Process",,,"Software Engineering                    ","Application Designer",,,,," 1 - SAP PP Production Planning & Control Discrete Industries                        (P3 - Advanced)",0
"Other "," Affiliated Companies ","New","Client & Market","In Country","Brisbane","Sydney","Other ","Yes","No","Department of Housing A000218749 Analogue to Digital RFP (Mark Buckland","Design, build and configure applications to meet business process and application requirements.","2020-04-06T00:00","2020-05-28T00:00","Open - In Process","10","10","Experience Design                       ","XD Application Developer","Technology","Technology Specialization L2","Microsoft","Microsoft Automation"," 1 - Storyboards & Wireframes                                                        (P2 - Intermediate)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client & Market","Any Location Globally","London","London","Communications, Media & Technology ","Yes","No","Communication Order Management Solutions-10-Pune","Assist in defining requirements and designing applications to meet business process and application requirements.","2020-04-01T13:00","2021-01-30T13:00","Open - In Process","10","10","Software Engineering                    ","Application Designer",,,,," 1 - Communication Order Management Solutions                                        (P3 - Advanced) | 2 - Communications CRM                                                              (P3 - Advanced)",3
"Products "," PRD AAPAC OU ","New","Client & Market","In Country","Melbourne","Melbourne","Products ","Yes","No","Training Analyst","Lead all aspects of designing, developing and implementing a training and performance support solution.

The description has been defaulted based on the Assigned Role selected; modify as needed to indicate any project specific details","2020-06-01T00:00","2021-04-30T00:00","Open - New","10","10","Management Consulting                   ","Training and Performance Support Lead","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Training and Performance Support                                                (P5 - Master)",0
"Accenture Technology "," Technology Geographic Unit ","Backfill","Client & Market","In Country","Melbourne","Melbourne","Products ","Yes","No","Online Merch Support Analyst","Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.","2020-04-01T00:00","2021-06-30T00:00","Open - In Process","10","10","Business & Technology Integration       ","Business Analyst","Technology","Technology Specialization L2","Interactive","Marketing Strat and Services"," 1 - eCommerce Operations                                                            (P4 - Expert) | 2 - Oracle Retail Merchandising System                                              (P3 - Advanced) | 3 - Oracle Retail Price Management                                                  (P3 - Advanced)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","In Country","Melbourne","Melbourne","Products ","Yes","Yes","Senior Web Developer","Design, build and test web-based applications and edit site content for various components using content management system (CMS). Create and manage web pages, add/edit content and upload/remove documents using CMS. Maintain website standards and comply with predefined design guidelines. Utilize best practices in web screen design and learn about different middleware platforms to source and update data through web screens as specified in functional requirements.","2020-02-24T00:00","2020-09-28T00:00","Open - In Process","10","10","Software Engineering                    ","Web Developer","Technology","Technology Specialization L2","Custom Development","Java Enterprise Integration"," 1 - Cascading Style Sheets (CSS)                                                    (P1 - Beginner) | 2 - JavaScript                                                                      (P1 - Beginner) | 3 - JQuery                                                                          (P1 - Beginner) | 4 - Oracle Application Express                                                      (P1 - Beginner)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","Any Location Globally","Riyadh","Riyadh","Communications, Media & Technology ","Yes","No","SF-SPCDP","Implementation of SuccessFactors Succession planning and Career development, Candidate shall be SF Certified and shall be able deliver the product within given time lines with the help of onsite team lead.","2020-04-05T00:00","2020-12-31T00:00","Open - In Process","10","10","Business & Technology Integration       ","Business and Integration Architect","Technology","Technology Specialization L2","SAP","SAP Data Management"," 1 - SAP Successfactors Integrations Technical                                       (P4 - Expert)",2
"Accenture Technology "," Intelligent Cloud and Infrastructure ","Backfill","Client & Market","Any Location Globally","Singapore","Singapore","Health & Public Service ","Yes","No","Linux Operating System-10-Manila","Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.","2020-02-17T08:00","2021-01-11T08:00","Open - In Process","10","10","Information Technology Operations       ","SW/Application Tech Support Practitioner","Technology","No Technology Category","No Technology Specialization",," 1 - Linux Operating System                                                          (P3 - Advanced) | 2 - MySQL                                                                           (P1 - Beginner) | 3 - NGINX Operations                                                                (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","Backfill","Client & Market","Any Location Globally","Singapore","Singapore","Health & Public Service ","Yes","No","Linux Operating System-10-Manila","Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.","2020-02-17T08:00","2021-01-11T08:00","Open - In Process","10","10","Information Technology Operations       ","SW/Application Tech Support Practitioner","Technology","No Technology Category","No Technology Specialization",," 1 - Linux Operating System                                                          (P3 - Advanced) | 2 - MySQL                                                                           (P1 - Beginner) | 3 - NGINX Operations                                                                (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","Backfill","Client & Market","Any Location Globally","Singapore","Singapore","Health & Public Service ","Yes","No","Enterprise Network Operations-10-Manila","Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.","2020-02-17T08:00","2021-01-11T08:00","Open - In Process","10","10","Information Technology Operations       ","SW/Application Tech Support Practitioner","Technology","No Technology Category","No Technology Specialization",," 1 - Enterprise Network Operations                                                   (P3 - Advanced) | 2 - Cisco Network Services Orchestrator (NSO)                                       (P1 - Beginner) | 3 - Fortinet Solutions                                                              (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client & Market","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Telecommunication Billing 9 - Chennai","Create and lead execution of a comprehensive communication plan to ensure stakeholder support of the change strategy.","2020-02-12T00:00","2020-04-15T00:00","Open - Confirming Candidate","10","10","Management Consulting                   ","Communications Lead","Function","No Function Category","No Function Specialization",," 1 - Change Management                                                               (P1 - Beginner) | 2 - Communications Development and Delivery                                         (P1 - Beginner) | 3 - Communications Strategy & Management                                            (P1 - Beginner) | 4 - Stakeholder Management                                                          (P1 - Beginner)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client & Market","Any Location Globally","Prague","Chicago","Other ","Yes","No","Infrastructure Tech Support Senior Analyst","Join Accenture and help transform leading organizations and communities around the world. The sheer scale
of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an
unparalleled opportunity to grow and advance. Choose Accenture, and make delivering innovative work part of
your extraordinary career.

People in our Client Delivery & Operations career track drive delivery and capability excellence through the
design, development and/or delivery of a solution, service, capability or offering. They grow into delivery-focused
roles, and can progress within their current role, laterally or upward.

IT Operations professionals support infrastructure operations and/or manage delivery for IT production systems
and services based on operational requirements and service agreements.  Accenture's Video Deployment Team is a dedicated group of Accenture professionals that focus on coordination of implementation of videoconferencing infrastructure and e","2020-03-15T00:00","2023-08-31T00:00","Open - New","10","10","Infrastructure                          ","Infrastructure Technical Specialist","Technology","Technology Specialization L2","Security","Identity and Access Management"," 1 - Audio design                                                                    (P2 - Intermediate) | 2 - Consumer Technology                                                             (P2 - Intermediate) | 3 - Infrastructure Operations                                                       (P2 - Intermediate) | 4 - ServiceNow                                                                      (P2 - Intermediate) | 5 - Video Conferencing Infrastructure                                               (P2 - Intermediate) | 6 - Video Transformation                                                            (P2 - Intermediate)",3
"Other "," Affiliated Companies ","New","Client & Market","In Country","Brisbane","Melbourne","Health & Public Service ","Yes","No","Senior Security Architect Oversight","Lead the effort to enable us and our clients to generate global impact through identification, development and implementation of proprietary and innovative ideas.","2020-04-01T00:00","2020-06-30T00:00","Open - Confirming Candidate","10","6","Security                                ","Security Consulting Lead","Technology","Technology Specialization L2","Microsoft","Microsoft Development"," 1 - Cloud Infrastructure Security                                                   (P1 - Beginner)",1
"Accenture Digital "," Accenture Applied Intelligence ","New","Client & Market","Any Location Globally","Riyadh","Riyadh","Health & Public Service ","Yes","No","Data Privacy Expert","Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.","2020-01-13T00:00","2020-02-27T00:00","Open - Need Project Feedback","10","6","Business & Technology Integration       ","Business Analyst","Function","No Function Category","No Function Specialization",," 1 - Business Model Strategy                                                         (P4 - Expert)",3
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Training Support","	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2020-08-03T00:00","2023-12-31T00:00","Open - New","10","7","Management Consulting                   ","Training & Performance Support Developer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Agile Methods (ADM for Distributed Agile Development)                           (P2 - Intermediate) | 2 - Learning Content Development                                                    (P2 - Intermediate) | 3 - Stakeholder Management                                                          (P2 - Intermediate) | 4 - Training and Performance Support                                                (P2 - Intermediate) | 5 - Training Evaluation Strategy                                                    (P2 - Intermediate) | 6 - Training Needs Analysis                                                         (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Training Support Copy 01","	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2020-08-03T00:00","2023-12-31T00:00","Open - New","10","7","Management Consulting                   ","Training & Performance Support Developer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Agile Methods (ADM for Distributed Agile Development)                           (P2 - Intermediate) | 2 - Learning Content Development                                                    (P2 - Intermediate) | 3 - Stakeholder Management                                                          (P2 - Intermediate) | 4 - Training and Performance Support                                                (P2 - Intermediate) | 5 - Training Evaluation Strategy                                                    (P2 - Intermediate) | 6 - Training Needs Analysis                                                         (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Brisbane","Canberra","Health & Public Service ","Yes","No","Business Process Designer (Lead)","Design business processes, including characteristics and key performance indicators (KPIs), to meet process and functional requirements. Work closely with the Application Architect to create the process blueprint and establish business process requirements to drive out application requirements and metrics. Assist in quality management reviews, ensure all business and design requirements are met. Educate stakeholders to ensure a complete understanding of the designs. Eliciting, validating, modelling, and optimising processes. Liaising with stakeholders to perform GAP analysis, evaluating risks stemming from changes, and Developing processes by corporate strategy.","2020-02-17T00:00","2023-04-30T00:00","Open - Confirming Candidate","10","7","Business & Technology Integration       ","Business Process Designer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Business Process Management                                                     (P4 - Expert) | 2 - Design Thinking                                                                 (P3 - Advanced) | 3 - Process Innovation                                                              (P3 - Advanced) | 4 - Process Modelling                                                               (P3 - Advanced)",1
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Brisbane","Canberra","Health & Public Service ","Yes","No","Business Process Designer","Analyze and design new business processes. Identify and define detailed product requirements and use cases. Serve as a liaison to the business community and participate in user and task analysis to maintain the business community's perspective.","2020-02-17T00:00","2022-12-31T00:00","Open - Confirming Candidate","10","7","Business & Technology Integration       ","Business Process Designer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Business Process Design                                                         (P1 - Beginner) | 2 - Change Management                                                               (P1 - Beginner)",1
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Training Consultant","	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2020-07-01T00:00","2021-06-30T00:00","Open - New","10","7","Management Consulting                   ","Training & Performance Support Developer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Agile Methods (ADM for Distributed Agile Development)                           (P2 - Intermediate) | 2 - Learning Content Development                                                    (P2 - Intermediate) | 3 - Training and Performance Support                                                (P2 - Intermediate) | 4 - Training Evaluation Strategy                                                    (P2 - Intermediate) | 5 - Training Needs Analysis                                                         (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Training Consultant","	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-01-04T00:00","2022-05-31T00:00","Open - New","10","7","Management Consulting                   ","Training & Performance Support Developer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Agile Methods (ADM for Distributed Agile Development)                           (P2 - Intermediate) | 2 - Learning Content Development                                                    (P2 - Intermediate) | 3 - Training and Performance Support                                                (P2 - Intermediate) | 4 - Training Evaluation Strategy                                                    (P2 - Intermediate) | 5 - Training Needs Analysis                                                         (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Training Consultant","	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-01-04T00:00","2022-05-31T00:00","Open - New","10","7","Management Consulting                   ","Training & Performance Support Developer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Agile Methods (ADM for Distributed Agile Development)                           (P2 - Intermediate) | 2 - Learning Content Development                                                    (P2 - Intermediate) | 3 - Training and Performance Support                                                (P2 - Intermediate) | 4 - Training Evaluation Strategy                                                    (P2 - Intermediate) | 5 - Training Needs Analysis                                                         (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client & Market","In Country","Canberra","Canberra","Health & Public Service ","Yes","No","Training Consultant","	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen","2021-10-04T00:00","2022-09-30T00:00","Open - New","10","7","Management Consulting                   ","Training & Performance Support Developer","Function","Function Specialization L2","Talent & HR","Enterprise Agility"," 1 - Agile Methods (ADM for Distributed Agile Development)                           (P2 - Intermediate) | 2 - Learning Content Development                                                    (P2 - Intermediate) | 3 - Training and Performance Support                                                (P2 - Intermediate) | 4 - Training Evaluation Strategy                                                    (P2 - Intermediate) | 5 - Training Needs Analysis                                                         (P2 - Intermediate)",0
"Resources "," RES AAPAC OU ","New","Client & Market","In Country","Brisbane","Melbourne","Resources ","Yes","No","Workforce Planning","The objective of this role is to define and mobilise a workforce planning function. Essentially it’s a Talent fulfilment specialist role, but the individual also needs to be able to define the rules and framework under which talent management is to be conducted in Rio. Define a workforce management strategy and then mobilise that function.","2020-02-03T00:00","2020-03-31T00:00","Open - Need Project Feedback","10","8","Management Consulting                   ","Transformation/Journey Lead","Function","Function Specialization L2","Talent & HR","HR Transformation"," 1 - Strategic Workforce Planning                                                    (P3 - Advanced) | 2 - Operational Excellence                                                          (P2 - Intermediate)",5
