Assignment Fulfillment Entity 1,Assignment Fulfillment Entity 2,Role Demand type,Career Track,Location Radius,Source Location,Project Metro City,Project Supervising Entity,Sold,Client Contract Based,Assignment Title,Description,Requested Start Date,End Date,Status,Career Level From,Career Level To,Talent Segment,Assigned Role,Assignment Primary Specialization Level 1,Assignment Primary Specialization Level 2,Assignment Primary Specialization Level 3,Assignment Primary Specialization Level 4,Quadrant 1,Quadrant 2
Accenture Technology , Intelligent Cloud and Infrastructure ,New,,Any Location Globally,Singapore,Singapore,Financial Services ,Yes,,Spring Application Framework-10-Manila,"Design, build and configure applications to meet business process and application requirements.",2020-03-08T08:00,2021-01-04T08:00,Open - In Process,,,Software Engineering                    ,Application Developer,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,,Any Location Globally,Singapore,Singapore,Financial Services ,Yes,,Apple iOS Application Development-9-Manila,"Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.",2020-02-02T08:00,2021-11-26T08:00,Open - In Process,,,Software Engineering                    ,Application Support Engineer,,,,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,,Any Location Globally,Singapore,Singapore,Financial Services ,Yes,,Angular-10-Manila,"Design, build and configure applications to meet business process and application requirements.",2020-05-31T08:00,2021-01-04T08:00,Open - In Process,,,Software Engineering                    ,Application Developer,,,,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,,Any Location Globally,Singapore,Singapore,Financial Services ,Yes,,Android Application Development-9-Manila,"Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.",2020-03-01T08:00,2020-11-26T08:00,Open - In Process,,,Software Engineering                    ,Application Support Engineer,,,,,0,0
Other,Other,New,,Any Location Globally,Tokyo,Tokyo,"Communications, Media & Technology ",Yes,,SAP PP Production Planning & Control Discrete Industries-8-Manila,Assist in defining requirements and designing applications to meet business process and application requirements.,2020-03-31T08:00,2020-08-30T08:00,Open - In Process,,,Software Engineering                    ,Application Designer,,,,,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Brisbane,Sydney,Other ,Yes,No,Department of Housing A000218749 Analogue to Digital RFP (Mark Buckland,"Design, build and configure applications to meet business process and application requirements.",2020-04-06T00:00,2020-05-28T00:00,Open - In Process,10,10,Experience Design                       ,XD Application Developer,Technology,Technology Specialization L2,Microsoft,Microsoft Automation,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,London,London,"Communications, Media & Technology ",Yes,No,Communication Order Management Solutions-10-Pune,Assist in defining requirements and designing applications to meet business process and application requirements.,2020-04-01T13:00,2021-01-30T13:00,Open - In Process,10,10,Software Engineering                    ,Application Designer,,,,,0,0
Products , PRD AAPAC OU ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Training Analyst,"Lead all aspects of designing, developing and implementing a training and performance support solution.

The description has been defaulted based on the Assigned Role selected; modify as needed to indicate any project specific details",2020-06-01T00:00,2021-04-30T00:00,Open - New,10,10,Management Consulting                   ,Training and Performance Support Lead,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Accenture Technology , Technology Geographic Unit ,Backfill,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Online Merch Support Analyst,"Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.",2020-04-01T00:00,2021-06-30T00:00,Open - In Process,10,10,Business & Technology Integration       ,Business Analyst,Technology,Technology Specialization L2,Interactive,Marketing Strat and Services,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,Yes,Senior Web Developer,"Design, build and test web-based applications and edit site content for various components using content management system (CMS). Create and manage web pages, add/edit content and upload/remove documents using CMS. Maintain website standards and comply with predefined design guidelines. Utilize best practices in web screen design and learn about different middleware platforms to source and update data through web screens as specified in functional requirements.",2020-02-24T00:00,2020-09-28T00:00,Open - In Process,10,10,Software Engineering                    ,Web Developer,Technology,Technology Specialization L2,Custom Development,Java Enterprise Integration,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,Any Location Globally,Riyadh,Riyadh,"Communications, Media & Technology ",Yes,No,SF-SPCDP,"Implementation of SuccessFactors Succession planning and Career development, Candidate shall be SF Certified and shall be able deliver the product within given time lines with the help of onsite team lead.",2020-04-05T00:00,2020-12-31T00:00,Open - In Process,10,10,Business & Technology Integration       ,Business and Integration Architect,Technology,Technology Specialization L2,SAP,SAP Data Management,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,Backfill,Client & Market,Any Location Globally,Singapore,Singapore,Health & Public Service ,Yes,No,Linux Operating System-10-Manila,"Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.",2020-02-17T08:00,2021-01-11T08:00,Open - In Process,10,10,Information Technology Operations       ,SW/Application Tech Support Practitioner,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,Backfill,Client & Market,Any Location Globally,Singapore,Singapore,Health & Public Service ,Yes,No,Enterprise Network Operations-10-Manila,"Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.",2020-02-17T08:00,2021-01-11T08:00,Open - In Process,10,10,Information Technology Operations       ,SW/Application Tech Support Practitioner,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Sydney,Sydney,"Communications, Media & Technology ",Yes,No,Telecommunication Billing 9 - Chennai,Create and lead execution of a comprehensive communication plan to ensure stakeholder support of the change strategy.,2020-02-12T00:00,2020-04-15T00:00,Open - Confirming Candidate,10,10,Management Consulting                   ,Communications Lead,Function,No Function Category,No Function Specialization,,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,Any Location Globally,Prague,Chicago,Other ,Yes,No,Infrastructure Tech Support Senior Analyst,"Join Accenture and help transform leading organizations and communities around the world. The sheer scale
of our capabilities and client engagements and the way we collaborate, operate and deliver value provides an
unparalleled opportunity to grow and advance. Choose Accenture, and make delivering innovative work part of
your extraordinary career.

People in our Client Delivery & Operations career track drive delivery and capability excellence through the
design, development and/or delivery of a solution, service, capability or offering. They grow into delivery-focused
roles, and can progress within their current role, laterally or upward.

IT Operations professionals support infrastructure operations and/or manage delivery for IT production systems
and services based on operational requirements and service agreements.  Accenture's Video Deployment Team is a dedicated group of Accenture professionals that focus on coordination of implementation of videoconferencing infrastructure and e",2020-03-15T00:00,2023-08-31T00:00,Open - New,10,10,Infrastructure                          ,Infrastructure Technical Specialist,Technology,Technology Specialization L2,Security,Identity and Access Management,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Brisbane,Melbourne,Health & Public Service ,Yes,No,Senior Security Architect Oversight,"Lead the effort to enable us and our clients to generate global impact through identification, development and implementation of proprietary and innovative ideas.",2020-04-01T00:00,2020-06-30T00:00,Open - Confirming Candidate,10,6,Security                                ,Security Consulting Lead,Technology,Technology Specialization L2,Microsoft,Microsoft Development,0,0
Accenture Digital , Accenture Applied Intelligence ,New,Client & Market,Any Location Globally,Riyadh,Riyadh,Health & Public Service ,Yes,No,Data Privacy Expert,"Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.",2020-01-13T00:00,2020-02-27T00:00,Open - Need Project Feedback,10,6,Business & Technology Integration       ,Business Analyst,Function,No Function Category,No Function Specialization,,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Training Support,"	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2020-08-03T00:00,2023-12-31T00:00,Open - New,10,7,Management Consulting                   ,Training & Performance Support Developer,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,Business Process Designer (Lead),"Design business processes, including characteristics and key performance indicators (KPIs), to meet process and functional requirements. Work closely with the Application Architect to create the process blueprint and establish business process requirements to drive out application requirements and metrics. Assist in quality management reviews, ensure all business and design requirements are met. Educate stakeholders to ensure a complete understanding of the designs. Eliciting, validating, modelling, and optimising processes. Liaising with stakeholders to perform GAP analysis, evaluating risks stemming from changes, and Developing processes by corporate strategy.",2020-02-17T00:00,2023-04-30T00:00,Open - Confirming Candidate,10,7,Business & Technology Integration       ,Business Process Designer,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,Business Process Designer,Analyze and design new business processes. Identify and define detailed product requirements and use cases. Serve as a liaison to the business community and participate in user and task analysis to maintain the business community's perspective.,2020-02-17T00:00,2022-12-31T00:00,Open - Confirming Candidate,10,7,Business & Technology Integration       ,Business Process Designer,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Training Consultant,"	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2020-07-01T00:00,2021-06-30T00:00,Open - New,10,7,Management Consulting                   ,Training & Performance Support Developer,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Training Consultant,"	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2021-01-04T00:00,2022-05-31T00:00,Open - New,10,7,Management Consulting                   ,Training & Performance Support Developer,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Training Consultant,"	Design, create and execute training as part of delivery team alongside technical and business delivery
	Work with impacted end users to prepare for new system

Brisbane/Canberra/Melbourne

The ATO security process requires:
	5 years residence history 
	3 most recent years to be consecutively in Australia
	Overseas police checks for periods spent outside Australia longer than 3 months within last 5 years
	Authority to obtain working rights status if non-citizen",2021-10-04T00:00,2022-09-30T00:00,Open - New,10,7,Management Consulting                   ,Training & Performance Support Developer,Function,Function Specialization L2,Talent & HR,Enterprise Agility,0,0
Resources , RES AAPAC OU ,New,Client & Market,In Country,Brisbane,Melbourne,Resources ,Yes,No,Workforce Planning,"The objective of this role is to define and mobilise a workforce planning function. Essentially it’s a Talent fulfilment specialist role, but the individual also needs to be able to define the rules and framework under which talent management is to be conducted in Rio. Define a workforce management strategy and then mobilise that function.",2020-02-03T00:00,2020-03-31T00:00,Open - Need Project Feedback,10,8,Management Consulting                   ,Transformation/Journey Lead,Function,Function Specialization L2,Talent & HR,HR Transformation,0,0
Health & Public Service , H&PS AAPAC OU ,Backfill,Client & Market,In Country,Brisbane,Canberra,Health & Public Service ,Yes,No,Xamarin Developer,"Design, build and configure applications to meet business process and application requirements.

4+ years of experience with Xamarin Mobile Development Platform
	Experience with Xamarin development in Classic and with Forms
 High proficiency coding in C#, .NET
Experience with consuming and understanding of web services ( REST and SOAP)
Experience with MVVM frameworks.
Work closely with a team of engineers and creative professionals in a highly collaborative environment on app design, integration with SaaS solutions and interface evolution.
Native Android and iOS development experience 
Integration experience to back-end database or transactional systems
Experience with Agile, or Agile-based, development methodologies
Self-starter eager to learn new technologies; enthusiastic about researching opportunities to grow and improve your skill set
Exposure to a consultancy environment: experience working with clients and understand the relationship value with clients",2020-01-28T00:00,2020-06-30T00:00,Open - In Process,10,8,Software Engineering                    ,Application Developer,Technology,Technology Specialization L2,Agile/DevOps,Agile Development,0,0
Accenture Technology , Intelligent Cloud and Infrastructure ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,O365 L2-3 Support Engineer,IT Operations professionals support infrastructure operations and/or manage delivery for IT production systems and services based on operational requirements and service agreements.,2020-05-25T00:00,2021-05-21T00:00,Open - New,10,8,Information Technology Operations       ,IT Operations Practitioner,Technology,Technology Specialization L2,Microsoft,Microsoft Infrastructure,0,0
Accenture Digital , Digital Delivery ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,Xamarin Developer,"Design, build and configure applications to meet business process and application requirements.

Prior Experience in Xamarin developing native Android and iOS apps, UI development, specifically experience with XIB.
Please note it is not Xamarin Forms (they have the same name but forms are nowhere related to what we do).",2020-02-05T00:00,2020-02-07T00:00,Open - New,10,8,Software Engineering                    ,Application Developer,Technology,Technology Specialization L2,Agile/DevOps,Agile Development,0,0
Health & Public Service , H&PS AAPAC OU ,New,Client & Market,In Country,Canberra,Canberra,Health & Public Service ,Yes,No,DEVSECOPS Specialist,"As a DEVSECOPS Engineer, should be able to assist the client  with defining, rolling out and implementing DevSecOps within their processes, teams and tooling. You should aim to embed security in every part of the development process, leveraging automated tools and workflows within the CI/CD release process.

Experience with securing containerised applications on cloud platforms such as AWS.
Define DevSecOps implementation strategies tailored to the client's needs, engaging with the various stakeholders
Evaluate and analyze threat, vulnerability, impact and risk to security issues discovered from security assessments
Advise clients on the security issues, including explanation on the technical details and how they can remediate the vulnerabilities in their applications
Perform source code reviews using SAST
Assist with implementing and designing automated security checks within the CI/CD
Analyze penetration testing reports and provide left shifting strategy",2020-02-24T00:00,2020-08-31T00:00,Open - New,10,8,Security                                ,Security Consulting Practitioner,Technology,Technology Specialization L2,Security,Security Strategy,0,0
Accenture Technology,Other,New,Client & Market,Any Location Globally,Chennai,Chennai,Health & Public Service ,Yes,No,Application Developer,"This is Java Developer profile requirement for Sales IT. he key skillsets & R&R for the role are

Java, J2EE, Spring MVC, Spring Boot, Hibernate, Web Services using REST/JSON, DB2, HTML/HTML5, CSS, Javascript and jQuery.
Good Analytical and communication skills 
Should be able to work independently with the client partners
 Good SQL Knowledge and should be able to write complex SQL queries
Key skills / knowledge areas:
	Spring
	Hibernate
	Database - IBM DB2, Mongo DB
	Services - SOAP & REST
	Jenkins 
	Gitlab
	Openshift
	Sprint Boot
	Knowledge in Hadoop Technologies",2019-06-10T00:00,2020-07-06T00:00,Open - New,10,8,Software Engineering                    ,Application Developer,Technology,Technology Specialization L2,Custom Development,Java Enterprise Back End,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,"Communications, Media & Technology ",Yes,No,Unify 0010568189 - Supply System Analyst,"Skills: understanding of Salesforce platform & ServiceMax product, strong stakeholder engagement, nbn experience & supply chain background preferred",2020-02-17T00:00,2020-06-30T00:00,Open - In Process,10,8,Business & Technology Integration       ,Business Analyst,Technology,No Technology Category,No Technology Specialization,,0,0
Resources , RES AAPAC OU ,New,Client & Market,In Country,Melbourne,Perth,Resources ,Yes,No,Consultant,"BRFT1061 - Design the strategy to manage Client IT Infrastructure in order to support the delivery of operational efficiencies, improve employee and workplace performance and meet dynamic business demands. Coordinate overall infrastructure improvements across the workplace, network, datacenter and operations as well as provide resources to manage and run the infrastructure on a managed or capacity services basis.",2020-02-18T00:00,2020-03-06T00:00,Open - Confirming Candidate,10,8,Infrastructure                          ,Infrastructure Consulting Lead,Function,No Function Category,No Function Specialization,,0,0
Resources , RES AAPAC OU ,New,Client & Market,In Country,Melbourne,Perth,Resources ,Yes,No,Subject Matter Advisor,"BRFT1061 - Design the strategy to manage Client IT Infrastructure in order to support the delivery of operational efficiencies, improve employee and workplace performance and meet dynamic business demands. Coordinate overall infrastructure improvements across the workplace, network, datacenter and operations as well as provide resources to manage and run the infrastructure on a managed or capacity services basis.",2020-02-18T00:00,2020-03-03T00:00,Open - Confirming Candidate,10,8,Infrastructure                          ,Infrastructure Consulting Lead,Function,No Function Category,No Function Specialization,,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,Any Location Globally,New York,New York,Products ,Yes,No,Kinaxis RapidResponse Application Developer,"Design, build and configure Kinaxis RapidResponse application to meet business process and application requirements.  Must have prior practical experience implementing and/or enhancing/expanding RapidResponse, ideally for pharma industry",2020-02-10T00:00,2020-08-10T00:00,Open - New,10,8,Software Engineering                    ,Application Developer,Function,Function Specialization L2,Supply Chain & Operations,Supply Chain Planning,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,Any Location Globally,Santiago,Santiago,Resources ,Yes,No,Ingeniero Redes OT - Ciberseguridad,"Ingeniero con experiencia en redes IT/OT mínimo dos años (indispensable este conocimiento para ocupar la posición). Asi mismo, experiencia en Networking, Redes IT/OT, Cyberseguridad con alguna de las siguientes certificaciones: ISO 27001, GICSP, CompTIA Security+, CCNA, SSCP, CISSP u otras certificaciones de seguridad relevantes.

Actividades BASE del Rol:
- Seguridad de acceso a sistemas IT/OT
- Recopilar y Documentar (listar, recoger, validar, y almacenar en sito colaborativo) la totalidad de Diagramas de red (IT/OT).
- Recopilar y Documentar la totalidad de equipamiento de sistemas.
- Validar, Normalizar y Documentar las actuales reglas de seguridad implementadas en TLC y Red OT & las políticas y procedimientos de la empresa.
- Estado de instalación de antivirus en cada equipo y sistema. Implica el seguimiento de actividades para regularizar/instalar donde sea necesario. 
- Parches, updates, hardening por sistemas.",2020-02-03T00:00,2021-01-29T00:00,Open - In Process,10,8,Software Engineering                    ,Application Support Engineer,Technology,Technology Specialization L2,Security,Enterprise Security Arch,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,No,SAP CRM ( ABAP / ODATA / FIORI ) Technical Developer,"Design, build and configure applications to meet business process and application requirements.",2020-02-24T00:00,2020-06-26T00:00,Open - In Process,10,8,Software Engineering                    ,Application Developer,Technology,Technology Specialization L2,SAP,SAP CRM Sales,0,0
Accenture Digital , Accenture Applied Intelligence ,Backfill,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,Yes,Business Analyst - Analytics,"Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.",2020-02-10T00:00,2020-06-26T00:00,Open - Need Project Feedback,10,8,Business & Technology Integration       ,Business Analyst,Technology,Technology Specialization L2,Agile/DevOps,Agile Development,0,0
Accenture Security , Security Practice,New,Client & Market,In Country,Sydney,Sydney,"Communications, Media & Technology ",Yes,No,Infrastructure analyst,"1)	Primarily, Windows system administration hands-on
2)	Experience in Active Directory configuration
3)	Exposure to security whitelisting.
",2020-02-03T00:00,2020-04-14T00:00,Open - New,10,8,Software Engineering                    ,Application Support Engineer,Technology,Technology Specialization L2,Security,Enterprise App Security,0,0
Accenture Security , Security Practice,New,Client & Market,In Country,Sydney,Sydney,"Communications, Media & Technology ",Yes,No,Infrastructure analyst,"Skills:
1)	Primarily, Windows system administration hands-on
2)	Experience in Active Directory configuration
3)	Exposure to security whitelisting.
",2020-02-03T00:00,2020-04-14T00:00,Open - New,10,8,Software Engineering                    ,Application Support Engineer,Technology,Technology Specialization L2,Security,Enterprise App Security,0,0
Other , Affiliated Companies ,New,Client & Market,In Country,Melbourne,Sydney,Other ,Yes,No,Telstra A000206357 | GBS Data Reporting Analytics - Transformation Component Visual Designer,"Interpret the client's brand and communicate brand attributes in a differentiated and elegantly simple way across multiple touch points. Develop a solid rationale as part of the design process through iterative development and enthusiasm for exploration. Develop concept, direct and delivery visual design to the highest visual standards and in alignment with overall experience and design strategy. Responsible for the visual design aspect of client's solutions or services.",2020-03-16T00:00,2020-04-17T00:00,Open - In Process,10,9,Design                                  ,Visual Designer,Technology,Technology Specialization L2,Microsoft,Microsoft Development,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Technical Tester,"1.	To be able to manage stakeholders, communicate effectively, manage a team of 2-4 resources, perform technical consultant role.
2.	Must have delivered Non-functional (Performance) testing phases (lead) of any small-medium scale projects with multi-tier technology landscape.
3.	Must have experience in delivering test strategy, test plan/approach and set-up test governance and reporting for PT/NFT and OAT (Operational-Acceptance-Testing) Phases of testing SDLC.
4.	Must have E2E test management (strategy, planning, data set-up, optimization and execution) covering both Progression, regression testing across PT/NFT and OAT phases of testing SDLC.
5.	Must have defect management expertise across all above phases and should be able to manage defects either using Microfocus ALM and/or JIRA or qTest – application delivery management tools.
6.	Must have expertise in managing Traceability across business requirements, test scenarios/cases, defects using either using Microfocus ALM and/or JIRA",2020-07-01T00:00,2021-09-30T00:00,Open - Need Project Feedback,10,9,Software Engineering                    ,Tester,Technology,Technology Specialization L2,AWS,Amazon Web Services,0,0
Accenture Security , Security Practice,New,Client & Market,In Country,Melbourne,Melbourne,"Communications, Media & Technology ",Yes,No,Business Analyst - Lead,"Contribute to the maturity of security business initiatives in the backlog to an agreed business accepted set of capability requirements which specify the required scope ready for sizing and building commencement by NBN Co's SEO delivery teams:
This will require:
	Attending delivery team daily stand-ups and other SAFe (Scaled Agile Framework) workshops, consisting of Pre-PI (Program Increment) and PI workshops
	Supporting the delivery team by clarifying requirements and assisting with removal of blockers  
	Liaising with business stakeholders within security and other nbn business units.
",2020-02-18T00:00,2020-06-30T00:00,Open - New,10,9,Business & Technology Integration       ,Business Analyst,Technology,No Technology Category,No Technology Specialization,,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Melbourne,Melbourne,Products ,Yes,No,Monitoring Specialist,"	Familiar with general monitoring concepts - 
	Metrics collection - infrastructure, system, application etc.
	Familiarity with APM tools like Dynatrace, New Relic, App Dynamics.
	Familiarity in log mining tools like Splunk.
	Comfortable with SQL, shell and python scripting.
	System / platform operations support experience is desirable.
	Splunk certification Is a plus.",2020-02-17T00:00,2021-01-29T00:00,Open - Need Project Feedback,10,9,Technology Architecture                 ,Technical Architect,Technology,Technology Specialization L2,Architecture,Development & Operations Architectures,0,0
"Communications, Media & Technology ", CMT AAPAC OU ,New,Client & Market,In Country,Melbourne,Melbourne,"Communications, Media & Technology ",Yes,No,Unify 0010568189 - Defect Coordinator,"Responsible for running the defect management process for Unify program.  Responsible for driving defect prioritisation, working with leads across the program to problem solve, present status in meetings with stakeholders and preparing defect reports for governance.  

",2020-02-17T00:00,2020-07-31T00:00,Open - New,10,9,Business & Technology Integration       ,Business and Integration Practitioner,Function,Function Specialization L2,Supply Chain & Operations,Supply Chain Technologies,0,0
Accenture Technology , Technology Geographic Unit ,New,Client & Market,In Country,Sydney,Sydney,Financial Services ,Yes,Yes,SAP CRM ( ABAP / ODATA / FIORI ) Technical Developer,"Design, build and configure applications to meet business process and application requirements.",2020-02-24T00:00,2020-09-30T00:00,Open - New,10,9,Software Engineering                    ,Application Developer,Technology,Technology Specialization L2,SAP,SAP CRM Service,0,0
