"Career Track","Talent Segment","Role Family","Role","Tech Specialty","Org Unit Level 1","Exp Hire Flag","Length-of-Service","Gender","Age of Employee","Strength 1","Strength 2","Strength 3","Strength 4","Strength 5","Strength 6","Strength 7","Strength 8","Strength 9","Strength 10","Strength 11","Strength 12","Strength 13","Strength 14","Strength 15","Strength 16","Strength 17","Strength 18","Strength 19","Strength 20","Strength 21","Strength 22","Strength 23","Strength 24","Strength 25","Strength 26","Strength 27","Strength 28","Strength 29","Strength 30","Strength 31","Strength 32","Strength 33","Strength 34"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Senior Analyst","MS Collaborative Technology","Accenture Technology","Yes",11,"Male",28,"woo","focus","input","context","arranger","communication","maximiser","relator","achiever","individualisation","ideation","empathy","significance","consistency","connectedness","self-assurance","positivity","activator","includer","learner","intellection","discipline","deliberative","restorative","analytical","belief","responsibility","command","harmony","developer","adaptability","competition","futuristic","strategic"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","eCommerce Platforms","Accenture Technology","Yes",35,"Male",33,"command","achiever","input","learner","connectedness","futuristic","self-assurance","ideation","includer","developer","analytical","restorative","responsibility","communication","relator","maximiser","individualisation","belief","strategic","focus","activator","intellection","woo","consistency","arranger","deliberative","significance","context","discipline","harmony","positivity","adaptability","empathy","competition"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Manager","SAP Ariba Sourcing & Procurmnt","Accenture Technology","No",96,"Male",35,"competition","connectedness","deliberative","activator","command","consistency","empathy","achiever","adaptability","self-assurance","futuristic","context","discipline","harmony","learner","includer","significance","communication","maximiser","relator","arranger","restorative","developer","focus","woo","strategic","analytical","positivity","input","responsibility","intellection","belief","individualisation","ideation"
"Client Delivery & Operations","Program, Project & Service Mgmt","Program and Project Management","Program & Project Mgmt Associate Manager","Delivery Lifecycle","Accenture Technology","No",96,"Female",33,"self-assurance","relator","harmony","responsibility","ideation","positivity","input","connectedness","belief","discipline","restorative","woo","developer","consistency","empathy","significance","maximiser","adaptability","command","achiever","learner","arranger","context","includer","deliberative","individualisation","focus","competition","strategic","intellection","futuristic","communication","activator","analytical"
"Client & Market","Strategy","Business Strategy","Business Strategy Manager","Strategy","Accenture Strategy","No",96,"Female",34,"analytical","maximiser","deliberative","intellection","strategic","positivity","empathy","consistency","command","activator","discipline","developer","woo","restorative","belief","context","self-assurance","harmony","relator","connectedness","includer","communication","focus","achiever","adaptability","futuristic","ideation","individualisation","responsibility","significance","input","learner","competition","arranger"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Manager","Design Solution","Health & Public Service","No",96,"Male",30,"self-assurance","significance","belief","context","activator","responsibility","adaptability","competition","futuristic","ideation","restorative","command","discipline","harmony","intellection","connectedness","learner","maximiser","includer","focus","developer","strategic","analytical","individualisation","empathy","relator","woo","positivity","input","deliberative","arranger","achiever","consistency","communication"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Senior Manager","Operating Model Strategy","Resources","Yes",108,"Male",40,"input","focus","futuristic","intellection","activator","self-assurance","consistency","positivity","achiever","strategic","connectedness","command","analytical","empathy","discipline","includer","maximiser","individualisation","restorative","adaptability","woo","significance","belief","developer","harmony","relator","deliberative","responsibility","context","competition","learner","communication","arranger","ideation"
"Client & Market","Business Process Delivery","Business Process Delivery","Bus Process Delivery Manager","Finance Process & Ops","Accenture Operations","No",108,"Female",33,"ideation","developer","belief","learner","intellection","input","context","deliberative","communication","positivity","discipline","command","connectedness","harmony","competition","includer","analytical","consistency","focus","woo","responsibility","significance","individualisation","activator","achiever","arranger","maximiser","futuristic","relator","self-assurance","adaptability","restorative","strategic","empathy"
"Client Delivery & Operations","Software Engineering","Test Architecture Engineering","Test Architecture Eng Specialist","Functional Testing","Health & Public Service","Yes",145,"Female",37,"relator","belief","futuristic","analytical","strategic","maximiser","competition","positivity","focus","deliberative","individualisation","includer","connectedness","learner","activator","context","responsibility","input","discipline","ideation","adaptability","woo","arranger","consistency","significance","empathy","developer","restorative","achiever","intellection","harmony","communication","self-assurance","command"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Manager","Cloud-Application and Platform","Accenture Technology","Yes",145,"Male",38,"self-assurance","belief","strategic","developer","intellection","adaptability","futuristic","competition","discipline","achiever","consistency","learner","focus","maximiser","ideation","relator","context","activator","communication","empathy","analytical","restorative","harmony","arranger","connectedness","command","positivity","input","deliberative","significance","includer","responsibility","woo","individualisation"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Agile Delivery Leadership","Accenture Technology","Yes",145,"Female",39,"communication","developer","belief","restorative","intellection","discipline","context","responsibility","woo","activator","individualisation","input","positivity","harmony","maximiser","ideation","connectedness","command","arranger","achiever","deliberative","futuristic","self-assurance","relator","consistency","analytical","focus","learner","includer","empathy","significance","adaptability","competition","strategic"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Senior Manager","Performance Engineering","Products","No",169,"Male",40,"strategic","empathy","discipline","focus","intellection","deliberative","input","individualisation","arranger","developer","competition","relator","learner","positivity","adaptability","consistency","maximiser","harmony","belief","self-assurance","futuristic","restorative","analytical","command","woo","communication","responsibility","significance","connectedness","context","activator","includer","achiever","ideation"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Manager","SAP Business Intelligence (BI)","Accenture Technology","Yes",23,"Male",41,"communication","connectedness","achiever","empathy","intellection","ideation","focus","competition","developer","input","strategic","woo","arranger","command","context","learner","restorative","deliberative","individualisation","positivity","relator","responsibility","significance","analytical","adaptability","belief","harmony","discipline","activator","includer","consistency","self-assurance","futuristic","maximiser"
"Client Delivery & Operations","Software Engineering","Software Engineering","Software Engineering Sr. Analyst","Performance Engineering","Health & Public Service","Yes",23,"Male",37,"positivity","harmony","strategic","focus","ideation","competition","woo","empathy","consistency","includer","input","intellection","achiever","belief","adaptability","developer","relator","significance","individualisation","deliberative","restorative","connectedness","analytical","communication","futuristic","maximiser","arranger","learner","discipline","responsibility","activator","command","context","self-assurance"
"Client Delivery & Operations","Software Engineering","Scrum Master","Scrum Master Associate Manager","Agile Processes","Health & Public Service","Yes",23,"Male",33,"context","strategic","belief","empathy","developer","woo","individualisation","self-assurance","communication","learner","includer","harmony","activator","restorative","ideation","analytical","connectedness","maximiser","relator","achiever","focus","input","command","intellection","adaptability","discipline","competition","significance","futuristic","responsibility","deliberative","consistency","positivity","arranger"
"Corporate Function","Research","Research","Research Specialist","Process Management","Corporate Functions","Yes",23,"Male",35,"relator","analytical","futuristic","learner","arranger","adaptability","communication","focus","competition","developer","deliberative","ideation","responsibility","restorative","discipline","context","harmony","activator","maximiser","achiever","woo","command","consistency","input","connectedness","individualisation","belief","strategic","significance","positivity","includer","empathy","intellection","self-assurance"
"Sales","Sales","Deal Execution & Innovation","Deal Execution & Innovation Sr Manager","SAP Ariba Sourcing & Procurmnt","Resources","Yes",23,"Male",52,"ideation","belief","learner","self-assurance","activator","context","strategic","intellection","includer","communication","command","achiever","deliberative","developer","analytical","maximiser","discipline","empathy","significance","focus","arranger","adaptability","input","relator","individualisation","connectedness","restorative","competition","positivity","futuristic","woo","responsibility","consistency","harmony"
"Corporate Function","Legal & Commercial Services","Contract Management","Contract Associate Manager","Contract management","Corporate Functions","Yes",23,"Female",36,"achiever","belief","focus","deliberative","woo","consistency","futuristic","competition","harmony","adaptability","significance","connectedness","learner","analytical","empathy","input","developer","strategic","activator","responsibility","maximiser","context","discipline","positivity","ideation","intellection","restorative","command","communication","relator","self-assurance","includer","individualisation","arranger"
"Client Delivery & Operations","Business & Technology Integration","Business & Technology Delivery","Bus & Technology Delivery Senior Analyst","Oracle","Health & Public Service","Yes",23,"Female",34,"learner","command","input","achiever","relator","adaptability","maximiser","restorative","discipline","woo","ideation","developer","context","individualisation","belief","responsibility","activator","self-assurance","harmony","focus","positivity","intellection","strategic","includer","arranger","deliberative","connectedness","analytical","empathy","competition","consistency","communication","significance","futuristic"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Assoc Manager","Salesforce","Accenture Technology","Yes",23,"Male",36,"futuristic","ideation","empathy","belief","focus","activator","context","positivity","learner","includer","consistency","individualisation","connectedness","communication","arranger","competition","command","maximiser","relator","analytical","harmony","deliberative","discipline","woo","responsibility","self-assurance","input","achiever","restorative","strategic","adaptability","significance","developer","intellection"
"Sales","Sales","Application Services Account Exec","Application Svcs Account Exec Sr Mgr","Industry Applications-PRD","Accenture Technology","Yes",23,"Male",39,"arranger","strategic","self-assurance","adaptability","responsibility","communication","intellection","individualisation","harmony","achiever","ideation","context","includer","consistency","discipline","positivity","activator","maximiser","belief","restorative","relator","deliberative","analytical","empathy","woo","competition","input","command","significance","connectedness","learner","focus","developer","futuristic"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","Oracle Industry Utilities","Accenture Technology","Yes",23,"Male",30,"positivity","harmony","consistency","restorative","arranger","strategic","relator","intellection","command","learner","includer","achiever","significance","woo","ideation","individualisation","analytical","connectedness","activator","maximiser","context","discipline","responsibility","adaptability","futuristic","input","focus","developer","self-assurance","competition","belief","communication","deliberative","empathy"
"Client Delivery & Operations","Software Engineering","Advanced Application Engineering","Advanced App Engineering Sr Manager","DevOps","Accenture Technology","Yes",23,"Male",34,"ideation","analytical","intellection","consistency","woo","relator","belief","context","self-assurance","futuristic","strategic","competition","focus","learner","restorative","communication","input","developer","deliberative","significance","harmony","connectedness","achiever","adaptability","responsibility","empathy","command","discipline","maximiser","activator","arranger","individualisation","positivity","includer"
"Client Delivery & Operations","IT Operations","Software/Application Technical Support","SW/Application Tech Support Sr Analyst","Service Resolution Management","Accenture Operations","Yes",96,"Male",31,"activator","restorative","adaptability","context","belief","positivity","ideation","competition","focus","individualisation","significance","responsibility","harmony","intellection","learner","analytical","consistency","deliberative","discipline","woo","arranger","command","maximiser","strategic","futuristic","developer","includer","communication","empathy","connectedness","input","achiever","self-assurance","relator"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","System Monitoring","Accenture Operations","Yes",96,"Male",33,"discipline","maximiser","adaptability","communication","harmony","includer","arranger","significance","futuristic","restorative","responsibility","positivity","consistency","learner","context","individualisation","ideation","self-assurance","woo","developer","activator","input","achiever","competition","intellection","command","empathy","deliberative","connectedness","focus","relator","strategic","analytical","belief"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Manager","Design Solution","Health & Public Service","No",133,"Male",38,"relator","achiever","belief","empathy","analytical","learner","positivity","developer","context","intellection","communication","futuristic","self-assurance","focus","activator","responsibility","includer","ideation","significance","discipline","maximiser","woo","restorative","arranger","individualisation","connectedness","deliberative","command","harmony","adaptability","input","strategic","consistency","competition"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","SAP","Health & Public Service","No",169,"Male",47,"individualisation","command","empathy","adaptability","self-assurance","positivity","woo","context","harmony","focus","includer","deliberative","ideation","input","activator","analytical","maximiser","restorative","responsibility","intellection","connectedness","learner","significance","consistency","competition","belief","arranger","relator","discipline","developer","strategic","communication","achiever","futuristic"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Delivery Lifecycle","Accenture Technology","No",230,"Male",42,"activator","positivity","discipline","intellection","individualisation","command","analytical","restorative","woo","includer","context","empathy","strategic","arranger","futuristic","competition","communication","developer","focus","self-assurance","responsibility","ideation","maximiser","consistency","learner","significance","adaptability","belief","relator","harmony","achiever","deliberative","input","connectedness"
"Sales","Sales","Deal Execution","Deal Execution Senior Manager","Business Development","Accenture Operations","No",230,"Male",42,"adaptability","consistency","includer","empathy","arranger","individualisation","strategic","deliberative","restorative","relator","ideation","significance","focus","developer","input","command","belief","self-assurance","harmony","context","intellection","positivity","maximiser","learner","competition","communication","analytical","futuristic","activator","woo","discipline","responsibility","achiever","connectedness"
"Client Delivery & Operations","Software Engineering","Test Engineering","Test Engineering Specialist","Test Automation","Health & Public Service","Yes",11,"Female",59,"consistency","developer","empathy","deliberative","context","learner","achiever","significance","focus","connectedness","responsibility","ideation","restorative","discipline","self-assurance","woo","belief","arranger","adaptability","includer","relator","futuristic","maximiser","activator","strategic","communication","intellection","command","input","analytical","individualisation","harmony","positivity","competition"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Manager","ACN Bank Migration Services","Financial Services","Yes",11,"Male",39,"discipline","restorative","focus","input","arranger","relator","connectedness","significance","developer","context","consistency","includer","positivity","achiever","adaptability","analytical","self-assurance","intellection","empathy","learner","competition","belief","responsibility","individualisation","command","communication","maximiser","activator","harmony","deliberative","strategic","woo","ideation","futuristic"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consultant","SAP","Products","Yes",11,"Male",31,"deliberative","maximiser","developer","arranger","connectedness","includer","context","intellection","ideation","consistency","empathy","discipline","positivity","achiever","analytical","focus","futuristic","command","woo","relator","responsibility","strategic","competition","communication","self-assurance","activator","adaptability","harmony","restorative","individualisation","input","significance","learner","belief"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Senior Manager","Analyze Solution","Financial Services","Yes",11,"Male",45,"connectedness","empathy","intellection","relator","focus","command","strategic","adaptability","arranger","woo","individualisation","self-assurance","belief","context","maximiser","harmony","developer","consistency","competition","includer","input","ideation","discipline","activator","responsibility","futuristic","learner","significance","restorative","analytical","communication","positivity","deliberative","achiever"
"Client Delivery & Operations","Software Engineering","Software Engineering","Software Engineering Sr. Analyst","No Function Specialty","Health & Public Service","Yes",11,"Female",32,"individualisation","context","consistency","communication","belief","input","responsibility","analytical","positivity","adaptability","relator","ideation","arranger","focus","intellection","discipline","empathy","deliberative","achiever","command","learner","strategic","developer","significance","includer","competition","harmony","self-assurance","restorative","connectedness","maximiser","woo","activator","futuristic"
"Client & Market","Security","Security Consulting","Security Consulting Senior Manager","No Function Specialty","Accenture Security","Yes",11,"Male",44,"futuristic","restorative","developer","maximiser","activator","woo","communication","consistency","belief","harmony","responsibility","analytical","positivity","competition","discipline","learner","intellection","adaptability","input","achiever","strategic","significance","individualisation","deliberative","connectedness","context","ideation","empathy","arranger","relator","command","includer","self-assurance","focus"
"Client Delivery & Operations","Security","Security","Security Sr. Analyst","Build/Develop Solution","Accenture Security","Yes",11,"Female",29,"input","competition","command","developer","intellection","focus","significance","communication","individualisation","responsibility","belief","strategic","maximiser","connectedness","adaptability","futuristic","relator","restorative","ideation","positivity","woo","discipline","self-assurance","deliberative","harmony","arranger","consistency","analytical","includer","context","achiever","empathy","learner","activator"
"Client Delivery & Operations","Business Advisory","Ops Consulting & Transformation","Ops Consulting &Transformation Assoc Mgr","Source To Pay Services","Accenture Operations","Yes",11,"Male",24,"connectedness","significance","empathy","relator","focus","positivity","responsibility","futuristic","strategic","competition","discipline","command","belief","learner","ideation","activator","arranger","intellection","achiever","deliberative","self-assurance","developer","context","analytical","harmony","restorative","woo","individualisation","communication","adaptability","includer","consistency","maximiser","input"
"Corporate Function","Legal & Commercial Services","Mergers and Acquisition Counsel","M&A Counsel Senior Manager","No Function Specialty","Corporate Functions","Yes",11,"Female",57,"command","communication","adaptability","connectedness","intellection","individualisation","self-assurance","developer","belief","empathy","strategic","relator","deliberative","discipline","activator","analytical","includer","positivity","significance","woo","futuristic","restorative","maximiser","ideation","achiever","input","learner","arranger","context","harmony","focus","consistency","competition","responsibility"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","Capital Markets Exchanges","Financial Services","Yes",11,"Male",25,"consistency","communication","activator","focus","achiever","discipline","ideation","restorative","harmony","futuristic","empathy","includer","command","learner","intellection","connectedness","arranger","responsibility","analytical","strategic","woo","developer","deliberative","positivity","relator","input","individualisation","maximiser","competition","belief","self-assurance","adaptability","significance","context"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Enterprise Risk Management","Financial Services","Yes",11,"Male",43,"individualisation","command","harmony","analytical","positivity","responsibility","ideation","woo","arranger","developer","intellection","consistency","includer","restorative","context","competition","discipline","activator","empathy","strategic","communication","input","achiever","adaptability","futuristic","belief","connectedness","maximiser","learner","relator","focus","significance","self-assurance","deliberative"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","Agile Delivery Leadership","Products","Yes",11,"Male",25,"belief","empathy","includer","discipline","maximiser","activator","arranger","connectedness","analytical","positivity","relator","achiever","competition","woo","significance","focus","adaptability","harmony","self-assurance","restorative","futuristic","communication","individualisation","ideation","intellection","input","deliberative","responsibility","developer","consistency","strategic","context","learner","command"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Analyst","No Function Specialty","Communications, Media & Technology","Yes",11,"Male",32,"includer","deliberative","relator","focus","responsibility","self-assurance","strategic","ideation","discipline","futuristic","developer","positivity","communication","maximiser","learner","activator","consistency","belief","restorative","harmony","achiever","input","context","command","connectedness","adaptability","woo","intellection","competition","arranger","analytical","empathy","significance","individualisation"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Change Management","Communications, Media & Technology","Yes",11,"Female",35,"empathy","individualisation","connectedness","learner","maximiser","discipline","input","responsibility","developer","context","focus","command","activator","harmony","analytical","self-assurance","futuristic","communication","strategic","relator","includer","ideation","restorative","intellection","consistency","belief","competition","arranger","deliberative","woo","positivity","adaptability","achiever","significance"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Manager","Digital Architecture","Products","Yes",11,"Male",35,"adaptability","focus","deliberative","arranger","input","developer","intellection","analytical","includer","restorative","significance","connectedness","consistency","positivity","belief","competition","woo","ideation","responsibility","communication","futuristic","achiever","harmony","empathy","maximiser","discipline","relator","context","command","learner","activator","individualisation","self-assurance","strategic"
"Sales","Sales","Deal Execution","Deal Execution Associate Director","No Function Specialty","Health & Public Service","Yes",11,"Male",57,"learner","developer","connectedness","self-assurance","ideation","consistency","significance","responsibility","communication","positivity","individualisation","includer","discipline","input","harmony","intellection","arranger","context","belief","maximiser","empathy","strategic","analytical","deliberative","activator","command","restorative","competition","focus","futuristic","achiever","woo","relator","adaptability"
"Corporate Function","Legal & Commercial Services","Contract Management","Contract Specialist","No Function Specialty","Corporate Functions","Yes",11,"Female",35,"ideation","arranger","individualisation","analytical","strategic","harmony","intellection","significance","communication","restorative","responsibility","futuristic","learner","adaptability","empathy","command","context","belief","discipline","consistency","maximiser","woo","activator","relator","developer","includer","deliberative","achiever","input","focus","self-assurance","competition","connectedness","positivity"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Specialist","Pega Business Process Manageme","Accenture Technology","Yes",11,"Male",30,"includer","responsibility","competition","intellection","futuristic","ideation","discipline","developer","restorative","maximiser","belief","context","positivity","connectedness","relator","self-assurance","focus","woo","harmony","command","empathy","adaptability","activator","analytical","individualisation","significance","achiever","strategic","input","learner","communication","arranger","consistency","deliberative"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Sr Analyst","Pega Business Process Manageme","Accenture Technology","Yes",11,"Male",26,"positivity","futuristic","adaptability","empathy","analytical","command","woo","individualisation","relator","self-assurance","communication","learner","maximiser","context","belief","competition","harmony","significance","achiever","ideation","activator","connectedness","strategic","developer","intellection","arranger","discipline","includer","restorative","deliberative","focus","responsibility","consistency","input"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Assoc Manager","SAP Business Intelligence (BI)","Accenture Technology","Yes",23,"Male",37,"communication","connectedness","includer","significance","positivity","activator","harmony","input","deliberative","analytical","empathy","command","self-assurance","woo","responsibility","context","achiever","consistency","competition","arranger","futuristic","focus","learner","maximiser","developer","ideation","intellection","adaptability","belief","discipline","restorative","relator","individualisation","strategic"
"Client Delivery & Operations","Business & Technology Integration","Software Implementation - Business","SW Business Imp Associate Manager","Enterprise Architecture","Accenture Operations","Yes",72,"Male",42,"activator","adaptability","communication","consistency","empathy","individualisation","context","analytical","focus","developer","competition","restorative","relator","self-assurance","maximiser","achiever","deliberative","positivity","learner","discipline","intellection","woo","includer","ideation","significance","strategic","harmony","arranger","input","command","futuristic","belief","connectedness","responsibility"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Senior Manager","Change Management","Resources","No",157,"Female",34,"analytical","woo","developer","restorative","significance","belief","command","adaptability","ideation","focus","competition","maximiser","strategic","relator","arranger","input","harmony","context","empathy","positivity","consistency","includer","individualisation","learner","discipline","responsibility","futuristic","self-assurance","intellection","communication","activator","connectedness","deliberative","achiever"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Executive","Solution Architecting","Health & Public Service","No",218,"Male",39,"context","command","achiever","input","significance","discipline","restorative","competition","self-assurance","harmony","ideation","belief","developer","focus","relator","arranger","empathy","communication","responsibility","maximiser","adaptability","analytical","individualisation","positivity","deliberative","activator","includer","woo","learner","futuristic","connectedness","intellection","consistency","strategic"
"Client Delivery & Operations","Design","Service & Interaction Design","Interaction Design Manager","No Function Specialty","Accenture Digital","Yes",11,"Male",36,"context","discipline","belief","empathy","competition","input","developer","includer","command","positivity","analytical","significance","communication","harmony","intellection","responsibility","woo","deliberative","ideation","relator","focus","individualisation","self-assurance","adaptability","strategic","arranger","connectedness","restorative","consistency","activator","achiever","maximiser","futuristic","learner"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Change Management","Communications, Media & Technology","Yes",47,"Female",32,"significance","woo","input","positivity","learner","strategic","consistency","futuristic","relator","command","maximiser","intellection","ideation","achiever","deliberative","competition","communication","includer","developer","responsibility","activator","individualisation","restorative","focus","connectedness","adaptability","analytical","discipline","belief","self-assurance","harmony","context","arranger","empathy"
"Client Delivery & Operations","Solution Architecture","Technology Solution Planning","Tech Solution Planning Manager","Technology Architectures","Accenture Technology","Yes",72,"Male",36,"achiever","individualisation","intellection","developer","belief","maximiser","harmony","analytical","input","command","empathy","includer","relator","discipline","self-assurance","woo","consistency","adaptability","responsibility","focus","context","significance","communication","activator","learner","positivity","connectedness","deliberative","arranger","ideation","futuristic","restorative","competition","strategic"
"Corporate Function","Legal & Commercial Services","Contract Management","Contract Manager","Contract management","Corporate Functions","Yes",72,"Female",37,"achiever","activator","includer","empathy","self-assurance","strategic","relator","connectedness","focus","restorative","responsibility","ideation","command","intellection","significance","discipline","belief","deliberative","learner","competition","developer","harmony","context","positivity","individualisation","consistency","input","communication","adaptability","analytical","futuristic","woo","maximiser","arranger"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","SAP SCM Fulfillment","Accenture Technology","Yes",72,"Male",39,"relator","maximiser","consistency","individualisation","discipline","focus","context","input","deliberative","analytical","adaptability","significance","arranger","self-assurance","positivity","learner","empathy","intellection","developer","belief","ideation","futuristic","includer","woo","connectedness","strategic","competition","activator","achiever","communication","restorative","command","responsibility","harmony"
"Client Delivery & Operations","Software Engineering","Test Architecture Engineering","Test Architecture Eng Manager","Functional Testing","Health & Public Service","No",145,"Male",33,"adaptability","maximiser","responsibility","empathy","command","competition","strategic","consistency","individualisation","input","harmony","intellection","deliberative","self-assurance","woo","futuristic","significance","connectedness","analytical","focus","includer","belief","discipline","restorative","positivity","context","ideation","activator","learner","communication","achiever","arranger","relator","developer"
